Date,Open,High,Low,Close,Adj Close,Volume
12-08-02,5.36,5.53,5.36,5.49,4.08,212976
13-08-02,5.5,5.59,5.38,5.42,4.03,153576
14-08-02,5.43,5.43,4.94,5.04,3.75,822776
15-08-02,5.04,5.04,5.04,5.04,3.75,0
16-08-02,5.02,5.26,4.94,5.03,3.74,811856
19-08-02,5.07,5.07,4.86,4.91,3.65,205880
20-08-02,4.94,5.36,4.91,5.04,3.75,3773624
21-08-02,5.32,5.42,5.05,5.29,3.93,3011064
22-08-02,5.47,5.75,5.44,5.52,4.1,6732480
23-08-02,5.57,6.03,5.5,5.85,4.35,4841672
26-08-02,5.94,5.98,5.78,5.83,4.33,2576912
27-08-02,5.88,6.12,5.64,5.68,4.23,3694224
28-08-02,5.67,5.75,5.57,5.69,4.23,1674960
29-08-02,5.66,5.79,5.64,5.69,4.23,1236544
30-08-02,5.71,6.24,5.71,6.09,4.53,3762384
02-09-02,6.19,6.36,6.09,6.15,4.58,2389568
03-09-02,6.19,6.22,5.81,5.87,4.36,986784
04-09-02,5.79,6.05,5.72,5.99,4.46,1449856
05-09-02,6.18,6.21,5.88,5.96,4.43,1061360
06-09-02,5.98,5.98,5.67,5.74,4.27,907472
09-09-02,5.46,5.9,5.46,5.66,4.21,880848
10-09-02,5.66,5.66,5.66,5.66,4.21,0
11-09-02,5.69,5.91,5.69,5.81,4.32,635936
12-09-02,5.88,5.98,5.8,5.84,4.34,781968
13-09-02,5.63,5.84,5.62,5.67,4.22,338264
16-09-02,5.72,5.75,5.52,5.56,4.13,288592
17-09-02,5.66,5.76,5.64,5.72,4.25,462952
18-09-02,5.69,5.71,5.5,5.54,4.12,315432
19-09-02,5.5,5.68,5.43,5.5,4.09,490848
20-09-02,5.3,5.49,5.28,5.41,4.02,501072
23-09-02,5.45,5.46,5.29,5.32,3.95,248504
24-09-02,5.3,5.3,5.08,5.14,3.82,267912
25-09-02,5.02,5.22,4.98,5.18,3.85,379544
26-09-02,5.28,5.34,5.22,5.26,3.91,178136
27-09-02,5.24,5.39,5.24,5.32,3.96,206288
30-09-02,5.24,5.32,5.02,5.13,3.81,202232
01-10-02,5.15,5.22,5,5.08,3.78,240192
02-10-02,5.08,5.08,5.08,5.08,3.78,0
03-10-02,5.15,5.5,5.15,5.22,3.88,673264
04-10-02,5.29,5.31,5.13,5.19,3.86,258296
07-10-02,5.22,5.26,5.12,5.17,3.84,110976
08-10-02,5.18,5.36,5.15,5.31,3.95,227352
09-10-02,5.33,5.41,5.13,5.17,3.85,277040
10-10-02,5.33,5.33,5.07,5.18,3.85,173224
11-10-02,5.32,5.39,5.27,5.29,3.93,192536
14-10-02,5.38,5.39,5.2,5.25,3.9,152744
15-10-02,5.25,5.25,5.25,5.25,3.9,0
16-10-02,5.92,5.92,5.22,5.26,3.91,247760
17-10-02,5.29,5.29,5.19,5.26,3.91,144512
18-10-02,5.36,5.52,5.3,5.37,3.99,512312
21-10-02,5.49,5.63,5.43,5.45,4.05,646296
22-10-02,5.5,5.5,5.22,5.25,3.91,229384
23-10-02,5.29,5.35,5.19,5.23,3.89,153320
24-10-02,5.29,5.3,5.1,5.14,3.82,168744
25-10-02,5.05,5.13,5.02,5.03,3.74,172296
28-10-02,5,5.05,4.92,4.96,3.69,134504
29-10-02,4.94,5.04,4.92,5,3.72,143024
30-10-02,5.05,5.18,5.01,5.09,3.78,164320
31-10-02,5.12,5.19,5.09,5.17,3.84,118928
01-11-02,5.19,5.28,5.08,5.11,3.8,108792
04-11-02,5.19,5.19,5.11,5.15,3.83,56560
05-11-02,5.1,5.16,5.06,5.1,3.79,70288
06-11-02,5.1,5.1,5.1,5.1,3.79,0
07-11-02,5.19,5.46,5.19,5.25,3.91,204880
08-11-02,5.15,5.22,5.12,5.16,3.84,77664
11-11-02,5.19,5.19,5.07,5.08,3.78,66568
12-11-02,5.05,5.19,5.05,5.11,3.8,106864
13-11-02,5.13,5.15,5.04,5.07,3.77,106264
14-11-02,5.15,5.24,5.07,5.13,3.82,211856
15-11-02,5.25,5.28,5.19,5.25,3.9,154144
18-11-02,5.29,5.36,5.23,5.3,3.94,217672
19-11-02,5.3,5.3,5.3,5.3,3.94,0
20-11-02,5.29,5.52,5.29,5.47,4.07,406128
21-11-02,5.58,6.19,5.58,5.95,4.42,2664024
22-11-02,5.72,6.25,5.72,5.86,4.35,1184016
25-11-02,5.91,5.98,5.77,5.85,4.35,428920
26-11-02,5.9,6.01,5.78,5.81,4.32,367496
27-11-02,5.91,5.91,5.66,5.69,4.23,301128
28-11-02,5.74,6.05,5.74,5.92,4.4,447680
29-11-02,5.92,5.92,5.92,5.92,4.4,0
02-12-02,6.21,6.78,6.15,6.55,4.87,1388680
03-12-02,6.71,7.25,6.47,6.93,5.15,4082608
04-12-02,6.81,7.08,6.61,6.7,4.98,2594928
05-12-02,6.66,7.07,6.66,6.87,5.11,1720264
06-12-02,6.98,7.15,6.87,7.05,5.24,1139968
09-12-02,7.02,7.15,6.64,6.71,4.99,975768
10-12-02,6.59,6.98,6.54,6.86,5.1,837808
11-12-02,7.05,7.47,7.02,7.19,5.34,3286400
12-12-02,7.19,7.47,7.19,7.24,5.39,2568024
13-12-02,7.33,7.42,7.23,7.27,5.41,1112288
16-12-02,7.37,7.42,6.92,6.96,5.18,1231456
17-12-02,7.09,7.09,6.76,6.83,5.08,855656
18-12-02,6.91,7.02,6.72,6.77,5.03,618096
19-12-02,6.91,7.52,6.83,7.34,5.46,3770256
20-12-02,7.43,7.6,7.26,7.4,5.5,2952072
23-12-02,7.43,7.44,7.09,7.14,5.31,1277744
24-12-02,7.16,7.47,7.13,7.43,5.53,1729840
25-12-02,7.43,7.43,7.43,7.43,5.53,0
26-12-02,7.49,7.74,7.37,7.64,5.68,2894448
27-12-02,7.7,7.73,7.44,7.47,5.55,956984
30-12-02,7.47,7.98,7.3,7.9,5.88,4253744
31-12-02,7.96,8.45,7.75,8.31,6.18,9998480
01-01-03,8.3,8.57,8.3,8.45,6.28,6027072
02-01-03,8.51,8.7,8.01,8.06,6,5325328
03-01-03,8.3,8.44,8.09,8.16,6.07,4198040
06-01-03,8.29,8.32,7.87,7.92,5.89,4121520
07-01-03,8.02,8.09,7.75,7.83,5.82,2650800
08-01-03,7.93,8.18,7.87,8.11,6.03,2648456
09-01-03,8.16,8.32,8.08,8.19,6.09,2630400
10-01-03,8.3,8.3,7.64,7.69,5.72,1702816
13-01-03,7.78,7.85,7.5,7.76,5.77,2421496
14-01-03,7.85,8.11,7.81,7.87,5.85,2239360
15-01-03,7.93,8.11,7.89,8.03,5.97,2759760
16-01-03,8.09,8.33,7.96,8.14,6.05,2842656
17-01-03,8.04,8.16,7.92,7.96,5.92,1284144
20-01-03,7.92,7.95,7.65,7.7,5.73,928872
21-01-03,7.71,7.82,7.47,7.5,5.58,1147240
22-01-03,7.57,7.71,7.48,7.53,5.6,1081352
23-01-03,7.43,7.53,7.16,7.26,5.4,1001872
24-01-03,7.28,7.4,6.9,7,5.2,1436848
27-01-03,6.64,6.91,6.4,6.51,4.84,916832
28-01-03,6.66,7.02,6.4,6.97,5.18,2043224
29-01-03,6.99,7.09,6.72,6.77,5.03,1370440
30-01-03,6.75,7.07,6.75,6.87,5.11,1203464
31-01-03,6.74,6.93,6.66,6.71,4.99,1083040
03-02-03,6.75,7.26,6.73,7.22,5.37,1566808
04-02-03,7.23,7.4,6.92,6.99,5.2,1311144
05-02-03,6.88,6.98,6.75,6.86,5.1,845080
06-02-03,6.87,7.04,6.79,7,5.21,946624
07-02-03,6.93,7.18,6.86,6.93,5.16,1023440
10-02-03,6.85,6.95,6.68,6.7,4.98,449688
11-02-03,6.71,6.88,6.6,6.64,4.94,701960
12-02-03,6.71,6.74,6.5,6.55,4.87,459064
13-02-03,6.55,6.55,6.55,6.55,4.87,0
14-02-03,6.31,6.62,6.16,6.22,4.63,790336
17-02-03,6.4,6.64,6.33,6.62,4.92,795272
18-02-03,6.72,6.78,6.55,6.58,4.89,819688
19-02-03,6.67,6.7,6.56,6.58,4.89,455960
20-02-03,6.42,6.6,6.34,6.56,4.88,542944
21-02-03,6.57,6.63,6.42,6.45,4.79,494544
24-02-03,6.6,6.6,6.43,6.49,4.82,326488
25-02-03,6.28,6.5,6.28,6.33,4.71,264440
26-02-03,6.4,6.49,6.18,6.22,4.63,422312
27-02-03,6.19,6.42,6.18,6.32,4.7,280480
28-02-03,6.55,6.71,6.37,6.65,4.94,694688
03-03-03,6.4,6.78,6.4,6.57,4.89,500896
04-03-03,6.5,6.5,6.36,6.41,4.77,255760
05-03-03,6.34,6.5,6.22,6.43,4.78,471552
06-03-03,6.49,6.49,6.22,6.26,4.65,265080
07-03-03,6.36,6.36,6.06,6.09,4.53,518664
10-03-03,6.06,6.12,5.58,5.67,4.22,346400
11-03-03,5.53,6.01,5.47,5.81,4.32,497168
12-03-03,5.97,5.97,5.7,5.72,4.26,481872
13-03-03,5.84,5.91,5.67,5.8,4.31,390112
14-03-03,5.8,5.8,5.8,5.8,4.31,0
17-03-03,5.64,5.95,5.57,5.78,4.3,373856
18-03-03,5.78,5.78,5.78,5.78,4.3,0
19-03-03,5.93,5.98,5.71,5.77,4.29,374256
20-03-03,5.79,5.95,5.67,5.91,4.39,537616
21-03-03,5.91,5.91,5.91,5.91,4.39,0
24-03-03,6,6.05,5.71,5.75,4.28,328920
